code,title,points_r1_2021,points_r1_2020,points_r1_2019
AL801,Software Design for Virtual Reality and Gaming,300.0,303.0,328.0
AL802,Software Design in Artificial Intelligence for Clo,313.0,332.0,306.0
AL803,Software Design for Mobile Apps and Connected Devi,350.0,337.0,337.0
AL805,Computer Engineering for Network Infrastructure,321.0,333.0,442.0
AL810,Quantity Surveying,328.0,319.0,349.0
AL820,Mechanical and Polymer Engineering,327.0,308.0,358.0
AL830,General Nursing,,442.0,429.0
AL832,Mental Health Nursing,,387.0,403.0
AL836,Nutrition and Health Science,346.0,334.0,383.0
AL837,Sports Science with Exercise Physiology,357.0,351.0,392.0
AL838,Biotechnology,324.0,307.0,372.0
AL839,Microbiology,325.0,325.0,371.0
AL840,Pharmaceutical Sciences,346.0,347.0,411.0
AL841,Athletic and Rehabilitation Therapy,477.0,430.0,430.0
AL842,Bioveterinary Science,338.0,313.0,366.0
AL843,Physical Activity and Health Science,306.0,306.0,330.0
AL850,Business,309.0,309.0,356.0
AL851,Business and Law,302.0,295.0,341.0
AL852,Accounting,336.0,309.0,346.0
AL855,Hospitality Management (with international placeme,309.0,308.0,357.0
AL857,Digital Marketing,304.0,304.0,360.0
AL860,Social Care Practice,301.0,300.0,338.0
AL861,Animation and Illustration (portfolio),575.0,578.0,899.0
AL863,Graphic and Digital Design (portfolio),747.0,781.0,898.0
AL864,Early Years Care and Education,306.0,307.0,348.0
AL870,Applied Psychology,,418.0,445.0
CW018,Business (options),307.0,298.0,349.0
CW028,Early Childhood Education and Care,260.0,252.0,308.0
CW038,Art (portfolio),700.0,700.0,700.0
CW058,Tourism and Event Management,292.0,298.0,262.0
CW068,Applied Social Studies in Professional Social Care,250.0,245.0,280.0
CW078,Sustainable Farm Management and Agribusiness,270.0,269.0,320.0
CW088,Visual Communications and Design,270.0,274.0,345.0
CW108,Science (options),266.0,261.0,326.0
CW128,Brewing and Distilling,307.0,263.0,298.0
CW188,Sport Rehabilitation and Athletic Therapy,451.0,451.0,473.0
CW208,Computer Games Development,272.0,279.0,338.0
CW238,Software Development,295.0,297.0,343.0
CW248,Information Technology Management,293.0,285.0,357.0
CW258,Cybercrime and IT Security,292.0,293.0,328.0
CW268,Computing in Interactive Digital Art and Design,291.0,287.0,321.0
CW438,Construction (options),260.0,272.0,308.0
CW468,Architectural Technology,291.0,262.0,290.0
CW478,Civil Engineering,465.0,433.0,383.0
CW548,Mechanical Engineering,330.0,321.0,351.0
CW558,Electronic Systems,280.0,280.0,338.0
CW568,Aerospace Engineering,371.0,380.0,422.0
CW578,TV and Media Production,318.0,325.0,361.0
CW708,Law - LLB,292.0,302.0,328.0
CW728,Product Design Innovation,246.0,252.0,355.0
CW748,Early Childhood Education and Care,290.0,270.0,338.0
CW758,Professional Social Care Practice,360.0,336.0,319.0
CW808,Media and Public Relations,247.0,251.0,307.0
CW848,Digital Marketing with Analytics,269.0,254.0,307.0
CW858,Sports Management and Coaching (options  portfolio,700.0,700.0,700.0
CW908,Business (options),272.0,280.0,307.0
CW938,Business with Law,270.0,283.0,288.0
