code,title,points_r1_2021,points_r1_2020,points_r1_2019
MH801,Early Childhood - Teaching and Learning (part-time,,327,347
MH103,Music,,,
MH116,Community and Youth Work (Full-Time),,,
CR125,Popular Music at CIT Cork School of Music,1028,1088,972
GA887,History and Geography,201,244,228
WD200,Arts (options),201,,221
MI001,Contemporary and Applied Theatre Studies,209,375,345
DB510,Audio Production and Music Project Management,217,234,233
GA380,International Hotel Management,218,242,225
DL823,Business Management,220,235,260
WD091,Hospitality Management,225,228,210
GC450,Communications and Media Production,225,254,227
WD162,Quantity Surveying,226,216,260
LC234,Immersive Digital Media and Spatial Computing,226,225,219
LC402,Social Care Work,228,225,209
GA384,Event Management with Public Relations,230,212,209
WD230,Mechanical and Manufacturing Engineering,230,253,273
DB517,Marketing (Event Management),233,238,226
DB500,Computing,234,218,242
GA382,Culinary and Gastronomic Science,235,206,225
DL836,Creative Computing,235,219,217
WD194,Culinary Arts,237,217,235
DB514,Business Studies (Law),239,252,269
DB569,Business (Psychology),240,252,279
CT125,Computing and IT,242,220,235
GC401,Accounting and Finance,242,240,181
DB515,Business Studies (Human Resource Management),242,244,225
DB512,Business Studies,243,218,229
DB521,Accounting and Finance,243,225,225
PC411,English and History (fulfils Teaching Council requ,243,255,168
WD152,Visual Art,243,,253
DB562,Psychology,244,243,208
DB526,Business (Cloud Computing),244,347,253
DB567,Film and Creative Media,245,218,192
GC403,Law,245,244,225
CR660,Tourism Management,246,252,249
CW728,Product Design Innovation,246,252,286
CW808,Media and Public Relations,247,251,248
DB524,Business (Information Systems),247,342,402
CW068,Applied Social Studies in Professional Social Care,250,245,251
GC400,Business,250,248,246
GC430,Computing Science,251,252,217
GA282,Heritage Studies,252,220,238
LC266,Drug and Medicinal Product Analysis,252,262,236
WD137,Design (Visual Communications),252,271,253
GA381,International Tourism Management,252,278,261
DB568,Law,254,219,245
DL822,Arts Management,254,229,209
DB527,Applied Social Care,254,234,235
LC226,Enterprise and Innovation,255,234,216
CW028,Early Childhood Education and Care,260,252,252
LC236,Internet Systems Development,260,262,298
LC418,Computing - Games Design and Development,260,270,271
CW438,Construction (options),260,272,271
WD210,Software Systems Development,260,279,271
CR305,Physical Sciences (Common Entry),260,282,279
GC201,Accounting and Finance,260,303,251
WD186,Sports Coaching and Performance,261,270,276
LC289,Precision Engineering,261,291,280
DB566,Social Science,262,220,216
PC410,Arts and Humanities (fulfils Teaching Council requ,262,252,203
LC295,Business Studies with Sports Management,262,252,263
CR365,Environmental Science and Sustainable Technology,262,253,334
SG141,Business,262,261,252
WD025,Construction Management and Engineering,262,269,269
WD212,Recreation and Sport Management,262,270,274
LY528,Construction Management,262,271,267
PC405,Social  Political and Community Studies,263,253,251
LC220,Digital Marketing,263,262,254
LC252,Civil Engineering Management,264,270,281
GC407,Business (Marketing),264,280,246
GC300,Business,264,429,251
GA889,Applied Social Care,265,266,260
NC023,Technology Management (with specialisations),266,261,260
CW108,Science (options),266,261,261
WD134,International Business,267,290,289
DB502,Computing (Data Analytics and Big Data),267,341,269
GA885,Outdoor Education,269,252,210
GC200,Business,269,252,269
CW848,Digital Marketing with Analytics,269,254,279
WD161,Computer Forensics and Security,270,255,262
WD001,Applied Computing (options),270,260,279
CW078,Sustainable Farm Management and Agribusiness,270,269,266
WD211,Creative Computing,270,271,275
GA788,Computing and Digital Media,270,274,270
CW088,Visual Communications and Design,270,274,309
NC020,Marketing Practice,270,280,270
WD006,Exercise Sciences (options),270,280,282
CW938,Business with Law,270,283,270
WD007,Engineering (options),270,288,287
AC137,Liberal Arts,271,252,252
NC003,Computing (Degree Award options),271,260,261
WD192,Social Care Practice,271,270,279
WD005,Health Sciences (options),271,280,288
LC293,Business Studies with Travel and Tourism Managemen,271,307,299
LC297,Community and Addiction Studies,272,235,217
CW208,Computer Games Development,272,279,281
CW908,Business (options),272,280,260
WD187,Social Science,276,272,271
LC243,Quantity Surveying,278,294,281
LC517,Creative Media and Design,279,234,229
WD048,Business (options),279,271,278
WD193,Marketing and Digital Media,279,271,290
LC408,Environmental Science and Climate,279,279,262
WD195,Architectural and Building Information Modelling T,279,279,266
LC294,Business Studies with Event Management,279,279,271
LY978,Health and Social Care - Common Entry,279,280,260
CR425,International Business with Language,279,298,300
WD002,Science (options),279,308,302
WD150,Criminal Justice Studies,280,270,271
LC233,Software Development,280,272,300
CW558,Electronic Systems,280,280,279
WD140,Laws,280,280,290
MI002,Arts,280,300,300
CR600,Visual Communications at CIT Crawford College of A,280,+matric,587
GA483,Architectural Technology,281,265,251
GA890,Early Childhood Education and Care,281,270,278
LY508,Fire Safety Engineering,283,276,270
GA182,Business,285,287,290
SG242,Early Childhood Care and Education,287,279,278
GA186,Business with Entrepreneurship,287,280,297
GC489,Interior Architecture (portfolio),288,254,267
LY118,Business,288,290,287
DB531,Marketing,288,293,220
WD147,Pharmaceutical Science,288,293,298
LY968,Early Childhood Care  Health and Education,288,303,300
SG147,Sport with Business,288,307,269
LC422,Applied Strength and Conditioning,289,298,288
CW748,Early Childhood Education and Care,290,270,265
CR420,Marketing,290,285,288
LY228,Sports and Exercise - Common Entry,290,300,278
CW468,Architectural Technology,291,262,252
GA187,Rural Enterprise and Agri-Business,291,281,280
CW268,Computing in Interactive Digital Art and Design,291,287,274
CW258,Cybercrime and IT Security,292,293,300
CW058,Tourism and Event Management,292,298,252
CW708,Law - LLB,292,302,298
CW248,Information Technology Management,293,285,307
TL823,Event Management (3 year programme),293,299,291
AC120,International Business,294,209,234
MU001,Theology and Arts,294,290,290
CW238,Software Development,295,297,300
DL837,New Media Studies,298,201,290
SG148,Tourism with Event Management,298,269,246
SG248,Sociology and Politics,298,281,282
GA183,Business Information Systems,298,296,309
LC225,Marketing and Management,298,298,298
LC380,Automotive Engineering and Transport Management,298,303,282
CR572,Construction Management,300,269,253
LC248,Built Environment (Common Entry),300,288,307
NC009,Business,300,300,297
LC224,Accounting and Finance,300,300,299
CK101,Arts - 3 years,300,300,300
LY208,Law,300,300,300
GA580,Software and Electronic Engineering,300,300,301
LY608,Mechanical Engineering,300,300,304
AL801,Software Design for Virtual Reality and Gaming,300,303,304
GA184,Marketing and Sales,300,307,307
SG343,Quantity Surveying,300,311,261
DK876,Early Childhood Studies,300,321,305
GC230,Computing Science,300,335,228
GY115,Arts with Performing Arts Studies,300,387,328
CR360,Instrument Engineering,301,261,291
NC005,Human Resource Management,301,300,297
DK816,Business Studies,301,300,300
AL860,Social Care Practice,301,300,309
TL844,Agricultural Engineering,301,300,311
TL881,Social Care,301,308,308
LY408,Design - Common Entry,301,320,307
DK880,Health and Physical Activity,301,328,300
GA783,Physics and Instrumentation,301,363,373
GA480,Construction Management,302,260,260
AL851,Business and Law,302,295,301
DK861,Arts,302,302,300
LY818,Science - Common Entry,302,303,302
DC235,Education and Training - Daytime and Flexible Deli,302,309,307
TL871,Health and Leisure (Degree Award options),303,300,303
GA181,Accounting,303,309,303
GA482,Quantity Surveying and Construction Economics,304,288,280
LY518,Quantity Surveying,304,301,307
AL857,Digital Marketing,304,304,300
GA683,Agricultural Engineering,304,309,301
SG146,Accounting,304,309,307
DK830,Building Surveying,305,336,302
